,job_title,salary
230,Авто замын инженер “Эн Ти Би” ХХК,"2,100,000 - 2,500,000 Тохиролцоно"
231,Барилга угсралтын инженер,"2,100,000 - 2,500,000"
232,УГСРАЛТ ХАРИУЦСАН БАРИЛГЫН ИНЖЕНЕР,"2,100,000 - 2,500,000 Тохиролцоно"
233,Борлуулалтын ажилтан,"1,200,000 - 1,500,000"
234,Миксерийн жолооч,"1,500,000 - 1,800,000"
235,"Хорека төлөөлөгч /БАР, РЕСТОРАН ХАРИУЦСАН/ ажилтан","1,500,000 - 1,800,000"
236,Борлуулалтын менежер,"1,200,000 - 1,500,000"
237,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"1,800,000 - 2,100,000"
238,ЦАХИЛГААНЧИН (ОТ төсөлд ажиллах ),"1,500,000 - 1,800,000"
239,Барилгын инженер,"2,100,000 - 2,500,000"
240,Борлуулалтын жолооч,"1,500,000 - 1,800,000"
241,Нярав ажилд авна. /Гранд принц/,"1,200,000 - 1,500,000"
242,ШҮДНИЙ ЭМЧ /Шинэ төгсөгч байж болно/,"1,800,000 - 2,100,000 Тохиролцоно"
243,СУВИЛАГЧ /Шүд/,"1,000,000 - 1,200,000"
244,Төслийн мэргэжилтэн,"2,500,000 - 3,000,000"
245,ЕРӨНХИЙ МЕНЕЖЕР /B2B бизнес хариуцсан/,"3,000,000 - 4,000,000"
246,Автын засварчин,"1,800,000 - 2,100,000"
247,Нярав /эрэгтэй/,"1,500,000 - 1,800,000 Тохиролцоно"
248,МОНГОЛ ХЭЛНИЙ БАГШ АЖИЛД АВНА,"800,000 - 1,000,000 Тохиролцоно"
249,Эдийн засагч,"2,100,000 - 2,500,000"
250,Үйлдвэрийн туслах ажилтан,"2,100,000 - 2,500,000 Тохиролцоно"
251,Нарийн бичиг,"1,200,000 - 1,500,000"
252,Төсөвчин,"1,800,000 - 2,100,000"
253,ХАБЭА-н Инженер,"2,100,000 - 2,500,000"
254,ХЭМАБ-ын ажилтан,"2,100,000 - 2,500,000"
255,БАРИЛГА БҮТЭЭЦИЙН ЗУРГИЙН ИНЖЕНЕР,"2,100,000 - 2,500,000"
256,Хүний нөөцийн ажилтан,"1,500,000 - 1,800,000"
257,ЛАБОРАТОРЫН ЧАНАРЫН МЭРГЭЖИЛТЭН,"1,500,000 - 1,800,000"
258,Ерөнхий тогооч,"2,500,000 - 3,000,000 Тохиролцоно"
259,"Жолооч /Хот хооронд, Улс хооронд/","1,200,000 - 1,500,000"
260,"Стратегийн шинжээч, координатор","2,100,000 - 2,500,000"
261,Ээлжийн ажилтан,"1,000,000 - 1,200,000"
262,Зөөгч,"1,200,000 - 1,500,000"
263,Борлуулалтын менежер /Энтертэйнмент/,"1,200,000 - 1,500,000"
264,ЦАЛИНТАЙ ДАДЛАГА (НЯГТЛАН БОДОГЧ),"600,000 - 800,000"
265,Худалдааны зөвлөх,"800,000 - 1,000,000"
266,Супервайзор,"1,500,000 - 1,800,000"
267,Савлалтын оператор/Инженер мэргэжилтнүүд/,"1,200,000 - 1,500,000"
268,ХУУЛИЙН ЗӨВЛӨХ /АНГЛИ ХЭЛТЭЙ/,"2,500,000 - 3,000,000"
269,Хоол үйлдвэрлэлийн технологич,"2,100,000 - 2,500,000 Тохиролцоно"
270,"Сантехникч,барилга байгууламжийн техникийн ажилтан","1,200,000 - 1,500,000"
271,СПОРТ ТӨВИЙН РЕСЕПШИН,"1,000,000 - 1,200,000"
272,Фреш хэлтсийн дарга /Сarrefour/,"2,500,000 - 3,000,000"
273,Инженер,"1,000,000 - 1,200,000 Тохиролцоно"
274,ОПЕРАТОР,"1,000,000 - 1,200,000"
275,Нярав,"1,200,000 - 1,500,000"
276,Дизайнер,"1,200,000 - 1,500,000"
277,"Борлуулагч, түгээгч","2,100,000 - 2,500,000"
278,Жолооч,"1,500,000 - 1,800,000"
279,Шатахуун түгээх станцад эрхлэгч,"1,000,000 - 1,200,000"
280,Лаборант /Хоол хүнсний нян судлаач/,"1,800,000 - 2,100,000 Тохиролцоно"
281,Борлуулалтын менежер /вакуум цонх/,"1,200,000 - 1,500,000"
282,Аж ахуй хариуцсан ажилтан,"1,200,000 - 1,500,000"
283,Тооцооны нягтлан бодогч,"1,800,000 - 2,100,000"
284,Металл хийц бүтээцийн инженер ажилд авна,"2,100,000 - 2,500,000"
285,"Эмч төлөөлөгч , эм зүйч төлөөлөгч","1,800,000 - 2,100,000"
286,Борлуулалтын ажилтан,"1,500,000 - 1,800,000"
287,Ахлах нягтлан бодогч,"2,500,000 - 3,000,000"
288,Маркетингийн менежер,"1,200,000 - 1,500,000"
289,Нярав шинэ төгсөгч байж болно.,"1,200,000 - 1,500,000"
290,Нярав шинэ төгсөгч байж болно.,"1,200,000 - 1,500,000"
291,Караокед тогооч,"2,100,000 - 2,500,000"
292,Категори менежер,"1,800,000 - 2,100,000"
293,Солонгос хоолны тогооч ажилд авна,"1,800,000 - 2,100,000"
294,Борлуулалтын менежер,"1,800,000 - 2,100,000"
295,Нягтлан бодогч,"1,800,000 - 2,100,000"
296,Health and Safety Officer,"2,500,000 - 3,000,000 Тохиролцоно"
297,РЕСТОРАНЫ ЕРӨНХИЙ МЕНЕЖЕР,"2,500,000 - 3,000,000"
298,Талбайн  инженер,"1,800,000 - 2,100,000"
299,Жолооч,"1,500,000 - 1,800,000"
300,ОФФИС ХАРИУЦСАН МЕНЕЖЕР,"1,000,000 - 1,200,000"
301,ҮЙЛЧИЛГЭЭ / НИЙТИЙН ХООЛНЫ МЕНЕЖЕР/ БААТАРВАНД,"1,200,000 - 1,500,000"
302,ҮЙЛДВЭРИЙН ДАМЖЛАГЫН АЖИЛТАН,"800,000 - 1,000,000"
303,БАРМЕН/ Зөөгч/БААТАРВАНД,"1,000,000 - 1,200,000"
304,Тогооч / Баатарванд /,"1,500,000 - 1,800,000"
305,ҮЙЛЧИЛГЭЭНИЙ МЕНЕЖЕР/ БААТАРВАНД,"1,200,000 - 1,500,000"
